0020  ; [*0209.0020.0002] # SPACE
006B  ; [.20C4.0020.0002] # LATIN SMALL LETTER K
006C  ; [.20D6.0020.0002] # LATIN SMALL LETTER L
006D  ; [.2109.0020.0002] # LATIN SMALL LETTER M
006E  ; [.2118.0020.0002] # LATIN SMALL LETTER N
006F  ; [.213C.0020.0002] # LATIN SMALL LETTER O
0070  ; [.216B.0020.0002] # LATIN SMALL LETTER P
0071  ; [.2180.0020.0002] # LATIN SMALL LETTER Q
0072  ; [.2193.0020.0002] # LATIN SMALL LETTER R
0073  ; [.21D2.0020.0002] # LATIN SMALL LETTER S
0074  ; [.21F7.0020.0002] # LATIN SMALL LETTER T
0075  ; [.2217.0020.0002] # LATIN SMALL LETTER U
0076  ; [.2247.0020.0002] # LATIN SMALL LETTER V
0077  ; [.2259.0020.0002] # LATIN SMALL LETTER W
0078  ; [.2264.0020.0002] # LATIN SMALL LETTER X
0079  ; [.2270.0020.0002] # LATIN SMALL LETTER Y
007A  ; [.2286.0020.0002] # LATIN SMALL LETTER Z
007B  ; [*032C.0020.0002] # LEFT CURLY BRACKET
007C  ; [*066E.0020.0002] # VERTICAL LINE
007D  ; [*032D.0020.0002] # RIGHT CURLY BRACKET
007E  ; [*0670.0020.0002] # TILDE
